no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
811	2011-07-23	13:54:00	2011-07-23	13:54:37	270	90	*	*	*	*	*	*	*	2011-07-23 13:54:00	2011-07-23 13:54:37	2011-07-23 12:54:00	2011-07-23 12:54:37	2011-07-23 11:54:00	2011-07-23 11:54:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110723/c2/22380654.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110723/c2/22380654.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110723/c2/22380649.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110723/c2/22380650.fts"
812	2011-07-24	17:54:00	2011-07-24	19:54:37	45	315	*	*	*	*	*	*	*	2011-07-24 17:54:00	2011-07-24 19:54:37	2011-07-24 16:54:00	2011-07-24 18:54:37	2011-07-24 15:54:00	2011-07-24 17:54:37	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110724/c2/22380798.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110724/c2/22380809.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110724/c2/22380793.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110724/c2/22380804.fts"
813	2011-07-25	17:54:00	2011-07-25	17:54:38	270	90	*	*	*	*	*	*	*	2011-07-25 17:54:00	2011-07-25 17:54:38	2011-07-25 16:54:00	2011-07-25 16:54:38	2011-07-25 15:54:00	2011-07-25 15:54:38	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110725/c2/22380922.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110725/c2/22380923.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110725/c2/22380917.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110725/c2/22380918.fts"
814	2011-07-26	03:54:00	2011-07-26	03:54:38	270	90	*	*	*	*	*	*	*	2011-07-26 03:54:00	2011-07-26 03:54:38	2011-07-26 02:54:00	2011-07-26 02:54:38	2011-07-26 01:54:00	2011-07-26 01:54:38	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110726/c2/22380972.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110726/c2/22380972.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110726/c2/22380967.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110726/c2/22380968.fts"
815	2011-07-27	02:54:00	2011-07-27	03:54:38	270	90	*	*	*	*	*	*	*	2011-07-27 02:54:00	2011-07-27 03:54:38	2011-07-27 01:54:00	2011-07-27 02:54:38	2011-07-27 00:54:00	2011-07-27 01:54:38	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381090.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381095.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381087.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381091.fts"
816	2011-07-27	06:54:00	2011-07-27	06:54:38	45	315	*	*	*	*	*	*	*	2011-07-27 06:54:00	2011-07-27 06:54:38	2011-07-27 05:54:00	2011-07-27 05:54:38	2011-07-27 04:54:00	2011-07-27 04:54:38	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381112.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381113.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381107.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110727/c2/22381108.fts"
817	2011-07-28	17:54:00	2011-07-28	19:54:38	225	135	*	*	*	*	*	*	*	2011-07-28 17:54:00	2011-07-28 19:54:38	2011-07-28 16:54:00	2011-07-28 18:54:38	2011-07-28 15:54:00	2011-07-28 17:54:38	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110728/c2/22381293.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110728/c2/22381304.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110728/c2/22381288.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110728/c2/22381299.fts"
818	2011-08-02	06:54:00	2011-08-02	06:54:40	90	270	*	*	*	*	*	*	*	2011-08-02 06:54:00	2011-08-02 06:54:40	2011-08-02 05:54:00	2011-08-02 05:54:40	2011-08-02 04:54:00	2011-08-02 04:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381854.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381855.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381849.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381850.fts"
819	2011-08-02	18:54:00	2011-08-02	19:54:40	45	315	*	*	*	*	*	*	*	2011-08-02 18:54:00	2011-08-02 19:54:40	2011-08-02 17:54:00	2011-08-02 18:54:40	2011-08-02 16:54:00	2011-08-02 17:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381914.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381920.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381909.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381915.fts"
820	2011-08-03	01:54:00	2011-08-03	02:54:40	90	270	*	*	*	*	*	*	*	2011-08-03 01:54:00	2011-08-03 02:54:40	2011-08-03 00:54:00	2011-08-03 01:54:40	2011-08-02 23:54:00	2011-08-03 00:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22381951.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22381955.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110802/c2/22381946.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22381951.fts"
821	2011-08-03	13:54:00	2011-08-03	13:54:40	90	270	*	*	*	*	*	*	*	2011-08-03 13:54:00	2011-08-03 13:54:40	2011-08-03 12:54:00	2011-08-03 12:54:40	2011-08-03 11:54:00	2011-08-03 11:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22382013.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22382013.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22382008.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110803/c2/22382009.fts"
822	2011-08-04	04:54:00	2011-08-04	04:54:40	45/90	270/315	*	*	*	*	*	*	*	2011-08-04 04:54:00	2011-08-04 04:54:40	2011-08-04 03:54:00	2011-08-04 03:54:40	2011-08-04 02:54:00	2011-08-04 02:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382090.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382091.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382083.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382083.fts"
823	2011-08-04	06:54:00	2011-08-04	06:54:40	315	45	*	*	*	*	*	*	*	2011-08-04 06:54:00	2011-08-04 06:54:40	2011-08-04 05:54:00	2011-08-04 05:54:40	2011-08-04 04:54:00	2011-08-04 04:54:40	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382100.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382101.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382095.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110804/c2/22382096.fts"
824	2011-08-06	12:54:00	2011-08-06	16:54:41	135	225	*	*	*	*	*	*	*	2011-08-06 12:54:00	2011-08-06 16:54:41	2011-08-06 11:54:00	2011-08-06 15:54:41	2011-08-06 10:54:00	2011-08-06 14:54:41	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382378.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382399.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382373.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382391.fts"
825	2011-08-06	23:54:00	2011-08-07	02:54:41	90	270	*	*	*	*	*	*	*	2011-08-06 23:54:00	2011-08-07 02:54:41	2011-08-06 22:54:00	2011-08-07 01:54:41	2011-08-06 21:54:00	2011-08-07 00:54:41	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382436.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382449.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110806/c2/22382431.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382445.fts"
826	2011-08-07	11:54:00	2011-08-07	11:54:41	90	270	*	*	*	*	*	*	*	2011-08-07 11:54:00	2011-08-07 11:54:41	2011-08-07 10:54:00	2011-08-07 10:54:41	2011-08-07 09:54:00	2011-08-07 09:54:41	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382497.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382498.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382492.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382493.fts"
827	2011-08-07	15:54:00	2011-08-07	19:54:41	90	270	*	*	*	*	*	*	*	2011-08-07 15:54:00	2011-08-07 19:54:41	2011-08-07 14:54:00	2011-08-07 18:54:41	2011-08-07 13:54:00	2011-08-07 17:54:41	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382515.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382538.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382510.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110807/c2/22382533.fts"
828	2011-08-08	04:54:00	2011-08-08	05:54:42	45	315	*	*	*	*	*	*	*	2011-08-08 04:54:00	2011-08-08 05:54:42	2011-08-08 03:54:00	2011-08-08 04:54:42	2011-08-08 02:54:00	2011-08-08 03:54:42	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382584.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382590.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382577.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382585.fts"
829	2011-08-08	18:54:00	2011-08-08	19:54:42	90	270	*	*	*	*	*	*	*	2011-08-08 18:54:00	2011-08-08 19:54:42	2011-08-08 17:54:00	2011-08-08 18:54:42	2011-08-08 16:54:00	2011-08-08 17:54:42	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382654.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382660.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382649.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110808/c2/22382655.fts"
830	2011-08-09	08:54:00	2011-08-09	08:52:27	90	270	*	*	*	*	*	*	*	2011-08-09 08:54:00	2011-08-09 08:52:27	2011-08-09 07:54:00	2011-08-09 07:52:27	2011-08-09 06:54:00	2011-08-09 06:52:27	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110809/c2/22382727.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110809/c2/22382727.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110809/c2/22382722.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110809/c2/22382722.fts"
831	2011-08-11	11:54:00	2011-08-11	11:54:43	45/90	270/315	*	*	*	*	*	*	*	2011-08-11 11:54:00	2011-08-11 11:54:43	2011-08-11 10:54:00	2011-08-11 10:54:43	2011-08-11 09:54:00	2011-08-11 09:54:43	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110811/c2/22382992.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110811/c2/22382993.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110811/c2/22382987.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110811/c2/22382988.fts"
832	2011-08-12	08:54:00	2011-08-12	08:54:43	45	315	*	*	*	*	*	*	*	2011-08-12 08:54:00	2011-08-12 08:54:43	2011-08-12 07:54:00	2011-08-12 07:54:43	2011-08-12 06:54:00	2011-08-12 06:54:43	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383097.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383099.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383093.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383094.fts"
833	2011-08-12	13:54:00	2011-08-12	13:54:43	315	45	*	*	*	*	*	*	*	2011-08-12 13:54:00	2011-08-12 13:54:43	2011-08-12 12:54:00	2011-08-12 12:54:43	2011-08-12 11:54:00	2011-08-12 11:54:43	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383122.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383122.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383120.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110812/c2/22383120.fts"
834	2011-08-13	10:54:00	2011-08-13	10:54:43	315	45	*	*	*	*	*	*	*	2011-08-13 10:54:00	2011-08-13 10:54:43	2011-08-13 09:54:00	2011-08-13 09:54:43	2011-08-13 08:54:00	2011-08-13 08:54:43	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110813/c2/22383227.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110813/c2/22383228.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110813/c2/22383220.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110813/c2/22383220.fts"
835	2011-08-14	08:54:00	2011-08-14	08:54:43	270	90	*	*	*	*	*	*	*	2011-08-14 08:54:00	2011-08-14 08:54:43	2011-08-14 07:54:00	2011-08-14 07:54:43	2011-08-14 06:54:00	2011-08-14 06:54:43	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110814/c2/22383339.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110814/c2/22383340.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110814/c2/22383334.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110814/c2/22383335.fts"
836	2011-08-16	08:54:00	2011-08-16	08:54:44	270	90	*	*	*	*	*	*	*	2011-08-16 08:54:00	2011-08-16 08:54:44	2011-08-16 07:54:00	2011-08-16 07:54:44	2011-08-16 06:54:00	2011-08-16 06:54:44	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383588.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383589.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383583.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383584.fts"
837	2011-08-16	11:54:00	2011-08-16	11:54:44	0	0	*	*	*	*	*	*	*	2011-08-16 11:54:00	2011-08-16 11:54:44	2011-08-16 10:54:00	2011-08-16 10:54:44	2011-08-16 09:54:00	2011-08-16 09:54:44	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383605.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383606.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383600.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110816/c2/22383601.fts"
838	2011-08-17	03:54:00	2011-08-17	04:54:44	360	360	*	*	*	*	*	*	*	2011-08-17 03:54:00	2011-08-17 04:54:44	2011-08-17 02:54:00	2011-08-17 03:54:44	2011-08-17 01:54:00	2011-08-17 02:54:44	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110817/c2/22383685.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110817/c2/22383693.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110817/c2/22383680.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110817/c2/22383685.fts"
839	2011-08-18	15:54:00	2011-08-18	15:54:45	315	90	*	*	*	*	*	*	*	2011-08-18 15:54:00	2011-08-18 15:54:45	2011-08-18 14:54:00	2011-08-18 14:54:45	2011-08-18 13:54:00	2011-08-18 13:54:45	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110818/c2/22383868.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110818/c2/22383868.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110818/c2/22383863.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110818/c2/22383864.fts"
840	2011-08-21	00:54:00	2011-08-20	23:54:45	135	225	*	*	*	*	*	*	*	2011-08-21 00:54:00	2011-08-20 23:54:45	2011-08-20 23:54:00	2011-08-20 22:54:45	2011-08-20 22:54:00	2011-08-20 21:54:45	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110820/c2/22384161.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110820/c2/22384157.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110820/c2/22384157.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110820/c2/22384153.fts"
841	2011-08-24	00:54:00	2011-08-24	00:54:46	270	90	*	*	*	*	*	*	*	2011-08-24 00:54:00	2011-08-24 00:54:46	2011-08-23 23:54:00	2011-08-23 23:54:46	2011-08-23 22:54:00	2011-08-23 22:54:46	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110823/c2/22384579.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110823/c2/22384579.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110823/c2/22384575.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110823/c2/22384575.fts"
842	2011-08-24	14:54:00	2011-08-24	15:54:46	225	135	*	*	*	*	*	*	*	2011-08-24 14:54:00	2011-08-24 15:54:46	2011-08-24 13:54:00	2011-08-24 14:54:46	2011-08-24 12:54:00	2011-08-24 13:54:46	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110824/c2/22384636.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110824/c2/22384640.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110824/c2/22384632.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110824/c2/22384636.fts"
843	2011-08-25	20:54:00	2011-08-25	20:54:47	90	270	*	*	*	*	*	*	*	2011-08-25 20:54:00	2011-08-25 20:54:47	2011-08-25 19:54:00	2011-08-25 19:54:47	2011-08-25 18:54:00	2011-08-25 18:54:47	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110825/c2/22384758.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110825/c2/22384758.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110825/c2/22384753.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110825/c2/22384754.fts"
844	2011-08-27	15:54:00	2011-08-27	15:54:47	315	45	*	*	*	*	*	*	*	2011-08-27 15:54:00	2011-08-27 15:54:47	2011-08-27 14:54:00	2011-08-27 14:54:47	2011-08-27 13:54:00	2011-08-27 13:54:47	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110827/c2/22384969.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110827/c2/22384969.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110827/c2/22384964.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110827/c2/22384965.fts"
845	2011-08-28	07:54:00	2011-08-28	07:54:47	315	45	*	*	*	*	*	*	*	2011-08-28 07:54:00	2011-08-28 07:54:47	2011-08-28 06:54:00	2011-08-28 06:54:47	2011-08-28 05:54:00	2011-08-28 05:54:47	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385053.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385054.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385048.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385049.fts"
846	2011-08-28	14:54:00	2011-08-28	14:54:47	315	45	*	*	*	*	*	*	*	2011-08-28 14:54:00	2011-08-28 14:54:47	2011-08-28 13:54:00	2011-08-28 13:54:47	2011-08-28 12:54:00	2011-08-28 12:54:47	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385088.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385089.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385085.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110828/c2/22385085.fts"
847	2011-08-29	16:54:00	2011-08-29	16:54:48	315	45	*	*	*	*	*	*	*	2011-08-29 16:54:00	2011-08-29 16:54:48	2011-08-29 15:54:00	2011-08-29 15:54:48	2011-08-29 14:54:00	2011-08-29 14:54:48	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110829/c2/22385223.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110829/c2/22385224.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110829/c2/22385216.fts"	"                                  fileid                                  
--------------------------------------------------------------------------
/archive/soho/private/data/processed/lasco/level_05/110829/c2/22385216.fts"
