HEL	CME	Pre-event		Last full visibility COR 2		GCS PARAMETER						HI-Date		FIT		HI List								
no	no	date	time	date	time	carlon	stoney	lat	tilt	Asp. Ratio	h_angle	date	time	APEX SPEED	CME-Mass	SpeedFPF	FPF		SpeedSSEF	SSEF		SpeedHMF	HMF	
-	-	yyyymmdd	hhmm	yyyymmdd	hhmm	deg	lon, old	deg	deg	-	deg		hhmm	km/s	g	km/s	LON	LAT	km/s	LON	LAT	km/s	LON	LAT
88	874	2011-09-10	08:54	2011-09-10	12:54	192	31	-16	26	0,43	34,9	2011-09-10	13:29	800	4,80E+15	605	24	-15	653	9	-15	707	-7	-13
89	879	2011-09-13	22:54	2011-09-14	02:54	132	19	21	-6	0,47	12,3	2011-09-14	03:29	504	4,20E+15	668	23	5	688	14	5	708	5	5
90	881	2011-09-14	19:54	2011-09-15	02:54	131	31	-6	29	0,3	12,6	2011-09-15	02:09	404	5,90E+15	420	11	-5	477	-8	-4	555	-30	-2
91	890	2011-09-21	21:54	2011-09-22	00:54	120	111	4	16	0,53	18,7	2011-09-22	02:09	1243	1,20E+17	638	39	36	674	24	39	711	7	40
92	891	2011-09-22	10:54	2011-09-22	12:54	281	-81	3	-24	0,66	18,7	2011-09-22	12:49	1200	5,00E+17	805	-13	11	1041	-39	9	1575	-72	4
93	898	2011-09-24	18:54	2011-09-24	21:54	290	-41	32	-12	0,25	21,2	2011-09-24	21:29	963	3,70E+15	836	-52	22	1022	-75	5	1358	-98	-1
94	901	2011-09-25	00:54	2011-09-25	11:54	34	71	-25	23	0,36	6,4	2011-09-25	12:49	714	3,30E+15	563	39	-24	581	30	-25	596	21	-25
95	911	2011-10-01	20:54	2011-10-02	23:34	136	-88	8	21	0,67	38,3	2011-10-02	00:49	1478	1,00E+17	631	-67	25	657	-73	21	676	-80	16
96	941	2011-10-22	10:54	2011-10-22	12:54	59	93	45	-6	0,59	45,8	2011-10-22	13:29	600	1,10E+16	1112	32	30	1455	55	16	1963	79	-4
97	950	2011-10-26	07:54	2011-10-26	15:54	306	34	10	15	0,49	10,3	2011-10-26	15:29	415	9,00E+14	435	10	11	486	-8	12	553	-28	12
98	962	2011-10-31	15:54	2011-10-31	20:54	207	4	31	4	0,32	15,7	2011-10-31	21:29	495	1,90E+15	524	-9	30	630	-34	25	808	-60	15
99	969	2011-11-05	02:54	2011-11-05	10:54	199	56	56	-58	0,43	15,9	2011-11-05	11:30	288	4,60E+15	798	14	35	921	35	26	1104	55	13
