S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
B,2651.9542_0B,1/28/14,10:54:00,-999,-999,-999,-999,-999,-999,2651.9125_1A,O,156, OVR
A,2652.0167_0A,1/28/14,12:24:00,-999,-999,-999,-999,-999,-999,2651.9854_1B,U,151, FF
B,2651.9854_1B,1/28/14,11:39:00,-999,-999,-999,-999,-999,-999,2652.0167_0A,O,156, FF
A,2652.1833_0A,1/28/14,16:24:00,-999,-999,-999,-999,-999,-999,2652.1625_0B,W,151, FF
B,2652.1625_0B,1/28/14,15:54:00,-999,-999,-999,-999,-999,-999,2652.1833_0A,W,156, FF 
A,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2652.2458_0B,Z,151,NULL
B,2652.2458_0B,1/28/14,17:54:00,-999,-999,-999,-999,-999,-999,NULL,J,156, FF
A,2652.4438_0Ac,1/28/14,23:08:00,251,81,2153,573,7652,2714,2652.4438_0B,O,151, FF ; OVR
B,2652.4438_0B,1/28/14,22:39:00,-999,-999,-999,-999,-999,-999,2652.4438_0Ac,O,156, FF ; OVR
A,2652.5375_0Ac,1/29/14,0:54:00,211,128,923,0,1063,47,2652.5375_0Bc,FS,151, HAL
B,2652.5375_0Bc,1/29/14,1:40:01,147,79,704,-56,734,-47,2652.5375_0Ac,FS,156,NULL
A,2652.7042_0A,1/29/14,4:54:00,-999,-999,-999,-999,-999,-999,2652.7042_0B,OP,151, OVR
B,2652.7042_0B,1/29/14,4:54:00,-999,-999,-999,-999,-999,-999,2652.7042_0A,OP,156, OVR
A,2652.7771_0A,1/29/14,6:39:00,-999,-999,-999,-999,-999,-999,2652.8188_0B,FP,151, OVR ; 3P
B,2652.8188_0B,1/29/14,7:39:00,-999,-999,-999,-999,-999,-999,2652.7771_0A,FP,156,NULL
A,2653.0167_0A,1/29/14,12:24:00,-999,-999,-999,-999,-999,-999,2653.0167_0B,W,151,NULL
B,2653.0167_0B,1/29/14,12:24:00,-999,-999,-999,-999,-999,-999,2653.0167_0A,F,156,NULL
A,2653.1306_0A,1/29/14,15:08:00,-999,-999,-999,-999,-999,-999,2653.1521_0B,O,151, faint
B,2653.1521_0B,1/29/14,15:39:00,-999,-999,-999,-999,-999,-999,2653.1306_0A,O,156, SUR
A,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2653.2354_0B,Z,151,NULL
B,2653.2354_0B,1/29/14,17:39:00,-999,-999,-999,-999,-999,-999,NULL,W,156, FF
A,2653.8604_0A,1/30/14,8:39:00,-999,-999,-999,-999,-999,-999,2653.8708_0B,O,151, HAL ; faint
